source_object,fields,field_name,uuid_alias_foreign_key,date_format,field_data_type,is_priority,secondary_date_sort_field,date_timezone,is_date,uuid_lookup_field_object,name,s3_path,source_namespace,is_primary_modified_date,pensieve_name,description,is_primary_id,uuid_lookup_exists_required,checksum_ignore,uuid_alias_field_name,priority_rank,query,uuid_lookup_field_namespace,deleted_marker,uuid_lookup_field_name
telemetry,,dataflow_telemetry_id,,,String,,,,,,,,dataflow_telemetry,,dataflow_telemetry_id,Composite Id of metric in the form of framework:stage:object:action,True,,,,,,,,
telemetry,,telemetry_timestamp,,,Long,,,,,,,,dataflow_telemetry,True,telemetry_timestamp,Timestamp of action in milliseconds since epic,,,False,,,,,,
telemetry,,framework_id,,,String,,,,,,,,dataflow_telemetry,,framework_id,Name of framework that is reporting the metric,,,,,,,,True,
telemetry,,dataflow_stage,,,String,,,,,,,,dataflow_telemetry,,dataflow_stage,Name of stage that is reporting the metric,,,,,,,,,
telemetry,,dataflow_object,,,String,,,,,,,,dataflow_telemetry,,dataflow_object,Name of object that the action was performed on,,,,,,,,,
telemetry,,dataflow_action,,,String,,,,,,,,dataflow_telemetry,,dataflow_action,"Type of action. E.g. INGEST, EXPORT",,,,,,,,,
telemetry,,dataflow_metric,,,Integer,,,,,,,,dataflow_telemetry,,dataflow_metric,Number of objects that were processed,,,,,,,,,
telemetry,,kafka_timestamp,,,Long,,True,,,,,,dataflow_telemetry,,data_warehouse_delivery_datetime,These records are stored directly in data warehouse so we need to ensure they are still processed correctly,,,True,,,,,,
Job__c,,Id,,,String,,,,,,,,Salesforce,,job_id,,True,,,,,,,,
Job__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
Job__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
Footage_Passings_Summary__c,,Id,,,String,,,,,,,,Salesforce,,footage_passings_summary_id,,True,,,,,,,,
Footage_Passings_Summary__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
Footage_Passings_Summary__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
ORA_Project__c,,Id,,,String,,,,,,,,Salesforce,,ora_project_id,,True,,,,,,,,
ORA_Project__c,,OwnerId,,,String,,,,,user,,,Salesforce,,owner_id,,,True,,,,,Salesforce,,Id
ORA_Project__c,,IsDeleted,,,Boolean,,,,,,,,Salesforce,,is_deleted,,,,,,,,,,
ORA_Project__c,,Name,,,String,,,,,,,,Salesforce,,canonical_ora_project_id,,,,,Id,,,,True,
ORA_Project__c,,CreatedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,,created_datetime,,,,,,,,,,
ORA_Project__c,,CreatedById,,,String,,,,,user,,,Salesforce,,created_by_id,,,True,,,,,Salesforce,,Id
